season,date,away.team,away.score,home.team,home.score,line,over_under
2015,2015-11-13,WOF,74,MIZ,83,-2.5,125.0
2015,2015-11-13,ARST,70,SIUE,79,4.5,140.5
2015,2015-11-13,BSU,72,MONT,74,5.0,134.5
2015,2015-11-13,WIU,69,WIS,67,-25.5,133.5
2015,2015-11-13,EWU,88,MSST,106,-10.5,151.5
2015,2015-11-13,FLA,59,NAVY,41,13.0,132.5
2015,2015-11-13,PAC,61,ARIZ,79,-23.0,137.5
2015,2015-11-13,UAB,74,AUB,75,2.5,150.0
2015,2015-11-13,ILST,60,SDSU,71,-9.5,128.0
2015,2015-11-13,PEPP,66,FRES,69,-2.5,136.5
2015,2015-11-13,CSF,74,LMU,79,-2.0,139.5
2015,2015-11-13,LIP,65,SCU,63,-7.5,145.0
2015,2015-11-13,CP,72,UNLV,74,-6.5,138.5
2015,2015-11-13,SUU,71,UTAH,82,-24.0,141.5
2015,2015-11-13,MONM,84,UCLA,81,-14.0,144.0
2015,2015-11-13,TEX,71,WASH,77,11.0,151.0
2015,2015-11-13,MILW,71,DEN,58,5.0,129.5
2015,2015-11-13,RICE,65,CAL,97,-16.5,136.5
2015,2015-11-13,CCAR,56,NEV,73,2.5,140.0
2015,2015-11-13,MTST,76,HAW,87,-14.5,148.5
2015,2015-11-14,CSU,84,UNI,78,-7.5,137.0
2015,2015-11-14,VMI,50,PSU,62,-13.5,150.0
2015,2015-11-14,TOWS,76,LAS,78,-5.5,134.0
2015,2015-11-14,SDAK,65,NIU,72,-6.5,141.0
2015,2015-11-14,HARV,64,PROV,76,-10.0,134.0
2015,2015-11-14,CSN,72,WRST,67,-8.5,140.0
2015,2015-11-14,YSU,70,KENT,79,-13.5,143.0
2015,2015-11-14,CIT,71,BUT,144,-29.5,147.0
2015,2015-11-14,UCF,85,DAV,90,-16.0,154.0
2015,2015-11-14,USM,49,MEM,67,-19.0,140.5
2015,2015-11-14,FOR,72,UTA,77,-2.5,144.5
2015,2015-11-14,WMU,63,DEP,69,-5.5,148.0
2015,2015-11-14,IDHO,74,SJSU,54,2.0,144.0
2015,2015-11-14,DEN,55,SCU,33,-6.0,127.5
2015,2015-11-14,AKR,65,CLEV,53,9.5,136.0
2015,2015-11-14,LIP,65,MILW,71,-7.0,146.0
2015,2015-11-14,NJIT,57,UK,87,-22.5,142.5
2015,2015-11-15,MSM,54,OSU,76,-13.0,138.0
2015,2015-11-15,WAKE,90,BUCK,82,-4.0,152.0
2015,2015-11-15,UTSA,45,CLEM,78,-17.5,134.5
2015,2015-11-15,IONA,58,VALP,83,-7.5,152.5
2015,2015-11-15,NDSU,74,ILL,80,-5.5,137.0
2015,2015-11-15,LIP,69,DEN,82,-3.0,131.5
2015,2015-11-15,ULM,56,MINN,67,-9.0,137.5
2015,2015-11-15,SEMO,65,EVAN,80,-20.0,147.5
2015,2015-11-15,FAIR,65,UNC,92,-24.5,146.5
2015,2015-11-15,WRST,59,NIU,65,-2.5,133.0
2015,2015-11-15,NIAG,62,JOES,73,-16.0,142.5
2015,2015-11-15,MILW,71,SCU,65,4.0,133.0
2015,2015-11-15,USA,70,NCST,88,-15.0,152.5
2015,2015-11-15,PORT,66,UCD,79,-3.5,145.0
2015,2015-11-15,SIE,65,WIS,92,-14.0,140.5
2015,2015-11-15,LMU,53,UCI,77,-13.0,139.0
2015,2015-11-15,CCAR,63,HAW,74,-6.5,148.0
2015,2015-11-15,CP,83,UCLA,88,-7.5,141.5
2015,2015-11-15,SDAK,76,CSN,72,2.5,147.5
2015,2015-11-15,NEV,83,MTST,62,9.0,147.5
2015,2015-11-16,WYO,55,INST,70,-5.0,132.5
2015,2015-11-16,BUFF,58,ODU,77,-10.5,135.5
2015,2015-11-16,JMU,73,WVU,86,-11.5,152.5
2015,2015-11-16,GMU,60,MER,69,-7.5,137.0
2015,2015-11-16,TENN,67,GT,69,-7.0,148.0
2015,2015-11-16,ULL,77,MIA,93,-11.0,148.5
2015,2015-11-16,ELON,68,MICH,88,-19.0,142.5
2015,2015-11-16,PEAY,76,IND,102,-30.5,156.5
2015,2015-11-16,CHAR,74,ECU,88,-7.5,144.5
2015,2015-11-16,TNST,67,OHIO,75,-6.0,142.0
2015,2015-11-16,EKY,59,UNCW,78,-6.0,153.0
2015,2015-11-16,EIU,56,BALL,73,-7.0,134.0
2015,2015-11-16,UVA,68,GW,73,6.5,125.5
2015,2015-11-16,ORU,66,SC,84,-14.0,146.0
2015,2015-11-16,BRAD,60,ARIZ,90,-28.0,134.5
2015,2015-11-16,MORE,66,ILST,67,-11.0,148.0
2015,2015-11-16,GASO,72,MISS,82,-16.5,147.0
2015,2015-11-16,DRKE,74,TULN,79,-1.0,128.5
2015,2015-11-16,WEB,68,SDKS,85,-5.5,144.5
2015,2015-11-16,TNTC,70,AFA,80,-8.5,145.0
2015,2015-11-16,IUPU,71,MARQ,75,-13.5,138.0
2015,2015-11-16,CLMB,71,KSU,81,-4.5,130.0
2015,2015-11-16,NAU,81,BSU,101,-17.0,146.0
2015,2015-11-16,SDSU,76,UTAH,81,-5.0,132.5
2015,2015-11-16,MONM,90,USC,101,-10.5,148.0
2015,2015-11-16,BEL,74,ASU,83,-4.5,154.5
2015,2015-11-16,RICE,54,SF,80,-4.5,147.0
2015,2015-11-16,MONT,61,SJSU,64,12.0,131.5
2015,2015-11-16,UCSB,67,CAL,85,-16.0,147.0
2015,2015-11-16,MAN,63,SMC,89,-9.5,137.5
2015,2015-11-16,BAY,67,ORE,74,2.0,150.0
2015,2015-11-16,BYU,65,LBSU,66,4.5,163.0
2015,2015-11-16,NEV,75,HAW,76,-5.0,146.5
2015,2015-11-16,KENN,69,LSU,91,-23.5,154.0
2015,2015-11-17,UK,74,DUKE,63,1.0,159.5
2015,2015-11-17,GTWN,71,MD,75,-9.0,138.5
2015,2015-11-17,KU,73,MSU,79,4.5,152.5
2015,2015-11-17,MIZ,66,XAV,78,-13.5,143.0
2015,2015-11-17,GRAM,55,OSU,82,-38.5,144.0
2015,2015-11-17,RID,60,LAS,73,-4.0,139.5
2015,2015-11-17,FUR,79,APP,70,-3.5,137.5
2015,2015-11-17,SBON,66,SYR,79,-9.0,133.5
2015,2015-11-17,MILW,78,ND,86,-16.0,148.5
2015,2015-11-17,DART,63,MRST,73,2.5,136.5
2015,2015-11-17,UMASS,69,HARV,63,-3.5,142.5
2015,2015-11-17,USD,62,WMU,74,-10.0,136.0
2015,2015-11-17,GB,90,ETSU,103,-1.5,146.5
2015,2015-11-17,SFA,60,UNI,70,-3.5,139.5
2015,2015-11-17,VALP,58,URI,55,-1.0,134.5
2015,2015-11-17,ALA,48,DAY,80,-10.0,142.5
2015,2015-11-17,COLO,91,AUB,84,-1.0,148.5
2015,2015-11-17,OKLA,84,MEM,78,4.5,150.0
2015,2015-11-17,DEP,62,PSU,68,-5.0,135.5
2015,2015-11-17,UTA,68,LT,80,-6.5,152.5
2015,2015-11-17,WICH,67,TLSA,77,4.5,141.5
2015,2015-11-17,UND,64,WIS,78,-26.0,141.0
2015,2015-11-17,UTSA,78,CREI,103,-19.0,153.0
2015,2015-11-17,MTSU,65,MURR,76,-2.0,139.5
2015,2015-11-17,UIC,57,WIU,84,-7.0,148.5
2015,2015-11-17,NEB,63,NOVA,87,-18.5,141.0
2015,2015-11-17,CSF,77,PAC,76,-7.0,142.5
2015,2015-11-17,IONA,73,ORST,93,-7.0,144.5
2015,2015-11-18,BUFF,67,JOES,89,-8.5,147.5
2015,2015-11-18,ILL,59,PROV,60,-7.0,147.0
2015,2015-11-18,CIN,83,BGSU,50,12.5,146.0
2015,2015-11-18,WOF,58,UNC,78,-23.0,153.5
2015,2015-11-18,RICH,91,WAKE,82,0.0,147.0
2015,2015-11-18,IUPU,56,NCST,79,-13.0,147.5
2015,2015-11-18,EMU,81,OAK,91,-6.0,153.5
2015,2015-11-18,JVST,62,VT,71,-12.0,149.0
2015,2015-11-18,UCI,61,UCF,60,5.0,149.0
2015,2015-11-18,WKU,85,BEL,90,-9.0,156.5
2015,2015-11-18,TOL,100,YSU,78,3.0,161.5
2015,2015-11-18,BRWN,66,NIAG,75,3.5,147.0
2015,2015-11-18,FAIR,72,NW,79,-15.0,140.0
2015,2015-11-18,AKR,88,ARK,80,-6.5,152.0
2015,2015-11-18,KENT,69,SIU,72,-1.5,142.0
2015,2015-11-18,IPFW,80,PEAY,77,2.5,152.0
2015,2015-11-18,SLU,70,SIUE,60,6.5,142.5
2015,2015-11-18,KENN,53,ASU,91,-21.0,150.0
2015,2015-11-18,LOYI,51,UNM,75,-6.5,139.5
2015,2015-11-18,NAU,52,GONZ,91,-25.5,158.5
2015,2015-11-18,SUU,64,UNLV,84,-13.5,150.5
2015,2015-11-19,RUTG,59,SJU,61,-6.5,141.5
2015,2015-11-19,GW,73,SF,67,9.5,142.5
2015,2015-11-19,LBSU,80,HALL,77,-4.5,147.5
2015,2015-11-19,MRSH,74,TENN,84,-13.5,160.0
2015,2015-11-19,FUR,68,CHAR,77,3.0,148.5
2015,2015-11-19,SDKS,83,ILST,67,-4.5,149.5
2015,2015-11-19,UAB,79,TROY,63,6.0,152.0
2015,2015-11-19,BSU,76,ARIZ,88,-12.5,153.0
2015,2015-11-19,TEM,75,MINN,70,-1.0,142.0
2015,2015-11-19,MISS,62,GMU,68,12.5,142.0
2015,2015-11-19,MIA,105,MSST,79,10.0,150.0
2015,2015-11-19,CREI,65,IND,86,-12.5,166.0
2015,2015-11-19,GB,77,GT,107,-12.5,159.5
2015,2015-11-19,IOWA,89,MARQ,61,4.0,146.5
2015,2015-11-19,USA,66,LSU,78,-18.0,161.0
2015,2015-11-19,LMU,75,CSU,83,-15.5,149.0
2015,2015-11-19,ORST,77,RICE,69,10.0,141.0
2015,2015-11-19,UVA,82,BRAD,57,24.0,127.5
2015,2015-11-19,SF,71,FRES,78,-10.0,151.5
2015,2015-11-19,SCU,63,UCRV,77,-7.5,133.0
2015,2015-11-19,PEPP,67,UCLA,81,-7.0,153.0
2015,2015-11-19,SMU,85,STAN,70,5.5,145.5
2015,2015-11-19,BUT,93,MOST,59,17.5,141.0
2015,2015-11-19,UTAH,73,TTU,63,9.0,141.5
2015,2015-11-19,OKST,69,TOWS,52,8.5,145.5
2015,2015-11-20,OHIO,88,TLSA,90,-11.5,145.0
2015,2015-11-20,ORU,70,UTM,66,3.5,151.0
2015,2015-11-20,GMU,71,OKST,68,-9.5,133.5
2015,2015-11-20,TEM,69,BUT,74,-8.5,143.5
2015,2015-11-20,HOF,82,FSU,77,-7.5,169.0
2015,2015-11-20,FIU,61,JMU,64,-12.0,142.0
2015,2015-11-20,MISS,76,TOWS,60,8.0,146.0
2015,2015-11-20,WIS,61,GTWN,71,2.0,135.0
2015,2015-11-20,NE,60,FAU,58,11.5,141.5
2015,2015-11-20,MSST,72,TTU,74,-3.0,148.0
2015,2015-11-20,DEP,61,SC,76,-7.5,145.0
2015,2015-11-20,BALL,81,EKY,89,-2.0,143.0
2015,2015-11-20,UTA,73,OSU,68,-18.5,152.0
2015,2015-11-20,PSU,52,DUQ,78,-2.5,144.0
2015,2015-11-20,RID,58,MD,65,-19.0,141.0
2015,2015-11-20,ETSU,51,NOVA,86,-24.5,161.5
2015,2015-11-20,MURR,52,UGA,63,-7.5,149.0
2015,2015-11-20,DEL,77,IONA,92,-9.0,163.5
2015,2015-11-20,MIA,90,UTAH,66,3.0,151.5
2015,2015-11-20,HALL,67,BRAD,59,11.5,141.0
2015,2015-11-20,SDAK,72,KSU,93,-13.5,145.0
2015,2015-11-20,WRST,63,UK,78,-25.5,138.0
2015,2015-11-20,CLMB,80,NW,83,-5.5,139.5
2015,2015-11-20,ULL,93,ALA,105,1.5,152.5
2015,2015-11-20,DET,79,PITT,95,-17.5,145.5
2015,2015-11-20,XAV,86,MICH,70,-5.0,145.0
2015,2015-11-20,PORT,63,COLO,85,-13.5,152.0
2015,2015-11-20,GASO,62,AUB,92,-11.5,152.5
2015,2015-11-20,LBSU,52,UVA,87,-16.0,138.5
2015,2015-11-20,SJSU,69,MTST,81,-7.0,141.0
2015,2015-11-20,IDST,67,WSU,85,-19.0,157.0
2015,2015-11-20,ECU,62,CAL,70,-20.0,149.0
2015,2015-11-20,MOST,69,MINN,74,-11.0,140.5
2015,2015-11-20,NORF,61,INST,70,-5.5,148.0
2015,2015-11-20,UTM,66,ORU,70,-4.0,152.0
2015,2015-11-20,VCU,71,DUKE,79,-10.0,153.0
2015,2015-11-20,LIP,68,MIOH,70,-9.0,148.5
2015,2015-11-20,ODU,39,PUR,61,-8.5,139.5
2015,2015-11-20,JOES,63,FLA,74,-5.5,147.0
2015,2015-11-21,FAU,75,MIOH,69,-7.5,142.0
2015,2015-11-21,FUR,58,CONN,83,-18.0,140.0
2015,2015-11-21,COFC,81,DAV,82,-15.0,151.0
2015,2015-11-21,NE,79,LIP,67,9.5,144.0
2015,2015-11-21,BEL,88,EVAN,93,-5.5,160.0
2015,2015-11-21,UNC,67,UNI,71,6.5,149.5
2015,2015-11-21,WMRY,66,DAY,69,-10.5,146.5
2015,2015-11-21,SDKS,76,TCU,67,-1.0,150.0
2015,2015-11-21,MONM,82,DREX,74,4.0,145.0
2015,2015-11-21,SIUE,67,IPFW,87,-11.0,146.0
2015,2015-11-21,PENN,67,WASH,104,-12.5,153.0
2015,2015-11-21,COR,62,CAN,87,-11.0,157.0
2015,2015-11-21,UALR,49,SDSU,43,-17.0,140.0
2015,2015-11-21,BGSU,59,UND,77,3.5,145.5
2015,2015-11-21,PEAY,64,CP,73,-13.5,148.0
2015,2015-11-21,NIAG,67,UVM,85,-7.5,146.5
2015,2015-11-21,ORU,74,JMU,64,-7.5,153.5
2015,2015-11-21,ORST,71,UCSB,59,2.0,138.5
2015,2015-11-21,TOL,62,LOYI,69,-5.0,149.0
2015,2015-11-21,USD,55,CSF,67,-6.0,143.5
2015,2015-11-21,BRWN,73,PROV,94,-14.5,144.5
2015,2015-11-21,VMI,52,VT,76,-9.0,151.5
2015,2015-11-21,ELON,55,SYR,66,-17.0,145.0
2015,2015-11-21,UNCG,54,UCF,65,-6.0,147.5
2015,2015-11-21,UMBC,81,UNCO,72,-9.0,149.5
2015,2015-11-21,WMU,76,UNCW,80,-4.5,144.0
2015,2015-11-21,MRST,72,KENT,79,-12.0,141.0
2015,2015-11-21,MORE,64,NKU,56,5.0,148.5
2015,2015-11-21,CLEV,45,URI,73,-15.0,131.0
2015,2015-11-21,BUFF,86,NCAT,68,10.5,145.5
2015,2015-11-21,UTM,62,FIU,69,0.0,143.0
2015,2015-11-21,MTSU,69,TNST,66,4.5,139.0
2015,2015-11-21,WIU,83,EIU,63,4.0,137.5
2015,2015-11-21,CHAT,81,ILL,77,-5.5,146.0
2015,2015-11-21,UTSA,82,SUU,79,-8.0,156.0
2015,2015-11-21,SPU,72,PRIN,75,-11.0,134.5
2015,2015-11-21,TXST,62,UTEP,77,-6.5,132.5
2015,2015-11-21,UCRV,57,SF,58,-5.5,145.5
2015,2015-11-21,NEV,85,PAC,82,3.0,141.0
2015,2015-11-21,UNM,82,USC,90,-6.5,147.5
2015,2015-11-21,NORF,71,OHIO,93,-4.5,149.5
2015,2015-11-21,DEP,67,FSU,83,-9.5,153.0
2015,2015-11-21,YSU,101,FGCU,104,-6.5,159.0
2015,2015-11-21,UVM,85,NIAG,67,7.5,146.5
2015,2015-11-21,FIU,69,UTM,62,0.0,143.0
2015,2015-11-22,WEBB,64,TENN,89,-13.0,151.0
2015,2015-11-22,LIP,79,FAU,65,-2.5,146.5
2015,2015-11-22,MOST,70,MSST,84,-6.0,147.5
2015,2015-11-22,ODU,64,JOES,66,1.5,132.0
2015,2015-11-22,HARV,56,BC,69,-4.5,134.5
2015,2015-11-22,ORU,76,FIU,70,4.5,140.5
2015,2015-11-22,DUKE,86,GTWN,84,6.0,148.5
2015,2015-11-22,TOWS,62,BRAD,60,3.5,133.5
2015,2015-11-22,ETSU,69,GT,68,-16.0,161.0
2015,2015-11-22,OMA,82,COLO,87,-18.0,160.5
2015,2015-11-22,UTM,78,JMU,75,-11.0,142.5
2015,2015-11-22,WIS,74,VCU,73,2.0,142.5
2015,2015-11-22,OAK,89,CSU,95,-7.5,167.5
2015,2015-11-22,WYO,82,MTST,83,7.0,139.0
2015,2015-11-22,APP,48,TULN,76,-6.5,139.5
2015,2015-11-22,AKR,56,NOVA,75,-16.0,143.0
2015,2015-11-22,YALE,69,SMU,71,-13.5,139.0
2015,2015-11-22,JVST,55,UAB,61,-16.5,141.5
2015,2015-11-22,FLA,70,PUR,85,-6.0,142.0
2015,2015-11-22,VALP,67,ORE,73,-6.5,142.5
2015,2015-11-22,FRES,82,RICE,65,5.5,141.5
2015,2015-11-22,NWST,42,ARIZ,61,-30.0,165.0
2015,2015-11-22,OKST,82,LBSU,77,3.5,136.5
2015,2015-11-22,BUT,75,MIA,85,-3.0,150.0
2015,2015-11-22,BUFF,77,UVM,71,-3.5,146.5
2015,2015-11-22,HOF,84,SC,94,-4.5,156.5
2015,2015-11-22,GMU,66,UVA,83,-20.0,125.0
2015,2015-11-22,STAN,61,SMC,78,-3.0,145.0
2015,2015-11-22,SELA,65,NEB,92,-15.5,147.5
2015,2015-11-22,AKR,56,NOVA,75,-16.0,143.0
2015,2015-11-22,TEM,68,UTAH,74,-5.0,137.5
2015,2015-11-22,HALL,75,MISS,63,-1.5,153.0
2015,2015-11-22,TTU,81,MINN,68,-1.0,136.5
2015,2015-11-22,NIAG,73,NCAT,72,5.5,140.5
2015,2015-11-22,NE,61,MIOH,67,2.0,140.5
2015,2015-11-22,CP,78,UMBC,65,13.5,138.5
2015,2015-11-22,PEAY,91,UNCO,76,-2.0,155.0
2015,2015-11-22,YSU,72,BGSU,79,-4.0,152.0
2015,2015-11-22,UND,60,FGCU,73,-4.0,149.5
2015,2015-11-22,INST,59,TLSA,67,-8.0,151.0
2015,2015-11-23,WAKE,82,IND,78,-13.0,168.0
2015,2015-11-23,SAM,83,TROY,79,-3.5,156.0
2015,2015-11-23,IUPU,63,KENN,71,7.0,141.0
2015,2015-11-23,INST,67,HOF,66,-6.5,156.5
2015,2015-11-23,NORF,78,DEP,82,-8.0,144.5
2015,2015-11-23,SJU,55,VAN,92,-14.5,136.0
2015,2015-11-23,OHIO,81,FSU,90,-11.5,160.5
2015,2015-11-23,LSU,80,MARQ,81,6.0,147.0
2015,2015-11-23,EMU,65,MSU,89,-20.5,144.0
2015,2015-11-23,BGSU,82,FGCU,77,-5.0,141.0
2015,2015-11-23,CHAT,63,ISU,83,-16.0,161.0
2015,2015-11-23,UTA,68,MEM,64,-13.0,153.5
2015,2015-11-23,IDHO,65,UNT,63,-5.5,148.0
2015,2015-11-23,NKU,66,XAV,78,-24.5,149.0
2015,2015-11-23,CSN,61,USC,96,-18.5,160.5
2015,2015-11-23,KU,123,CHAM,72,29.0,169.0
2015,2015-11-23,TLSA,75,SC,83,-2.5,146.5
2015,2015-11-23,CLEM,65,UMASS,82,7.5,136.0
2015,2015-11-23,SCU,61,UCI,79,-16.5,127.5
2015,2015-11-23,ECU,54,SDSU,79,-15.0,128.5
2015,2015-11-23,SHSU,63,CAL,89,-20.5,144.5
2015,2015-11-23,UNLV,75,UCLA,77,-3.5,160.5
2015,2015-11-23,CREI,85,RUTG,75,12.0,152.5
2015,2015-11-23,MURR,66,MILW,63,-1.0,145.0
2015,2015-11-23,PEPP,84,DUQ,70,3.5,154.5
2015,2015-11-23,YSU,79,UND,69,-3.0,159.5
2015,2015-11-23,BEL,98,USA,85,10.5,167.5
2015,2015-11-23,WKU,79,DRKE,81,5.0,141.5
2015,2015-11-23,NJIT,76,PROV,83,-11.0,146.5
2015,2015-11-23,MIZ,42,KSU,66,-5.5,144.5
2015,2015-11-23,MER,71,DAV,77,-12.0,154.0
2015,2015-11-23,CMU,60,WEB,63,2.0,152.0
2015,2015-11-23,NW,69,UNC,80,-10.5,150.5
2015,2015-11-23,NCST,76,ASU,79,1.5,149.0
2015,2015-11-24,MRSH,61,MORE,85,-7.5,151.0
2015,2015-11-24,SBON,77,CAN,73,-2.0,153.5
2015,2015-11-24,IPFW,57,MIOH,53,-3.0,146.0
2015,2015-11-24,VAN,86,WAKE,64,11.0,156.0
2015,2015-11-24,NW,67,MIZ,62,7.0,136.0
2015,2015-11-24,LT,82,OSU,74,-8.5,147.5
2015,2015-11-24,AKR,63,GB,66,5.0,157.5
2015,2015-11-24,OAK,88,SIU,97,-1.0,170.0
2015,2015-11-24,MARQ,78,ASU,73,-4.0,149.0
2015,2015-11-24,SAM,74,UNT,72,-5.0,149.5
2015,2015-11-24,WEB,74,DRKE,58,6.5,139.0
2015,2015-11-24,DUQ,96,MILW,92,0.0,154.5
2015,2015-11-24,RID,52,CLEV,57,5.0,124.0
2015,2015-11-24,SJU,73,IND,83,-20.5,155.5
2015,2015-11-24,CMU,60,WKU,88,4.0,149.0
2015,2015-11-24,USA,78,IUPU,68,2.0,146.5
2015,2015-11-24,LSU,72,NCST,83,-1.0,151.5
2015,2015-11-24,TCU,60,URI,66,-7.5,134.5
2015,2015-11-24,RAD,86,PSU,74,-8.5,135.0
2015,2015-11-24,IDHO,69,TROY,63,-1.5,150.0
2015,2015-11-24,PEPP,55,MURR,59,4.0,141.5
2015,2015-11-24,ARMY,80,TENN,95,-8.5,161.0
2015,2015-11-24,WOF,59,CLMB,70,-8.5,137.5
2015,2015-11-24,KSU,70,UNC,80,-10.5,148.5
2015,2015-11-24,KU,92,UCLA,73,9.0,162.0
2015,2015-11-24,UCD,79,SAC,84,-2.5,145.0
2015,2015-11-24,BU,62,UK,82,-24.5,148.0
2015,2015-11-24,CSF,80,SUU,66,-3.0,150.0
2015,2015-11-24,VALP,63,ORST,57,1.0,134.5
2015,2015-11-24,SDAK,92,HBU,68,19.5,154.5
2015,2015-11-24,MD,77,ILST,66,10.0,138.0
2015,2015-11-24,MILW,92,DUQ,96,-1.0,154.0
2015,2015-11-24,CHAM,73,UNLV,93,-22.0,174.0
2015,2015-11-24,BEL,80,KENN,55,14.5,160.5
2015,2015-11-24,CREI,85,RUTG,75,12.0,153.5
2015,2015-11-25,CMU,78,MILW,84,-1.0,148.5
2015,2015-11-25,SYR,83,CHAR,70,15.0,140.0
2015,2015-11-25,WKU,73,DUQ,81,-2.0,155.0
2015,2015-11-25,SJU,100,CHAM,93,10.5,170.0
2015,2015-11-25,UVM,62,FLA,86,-13.5,145.0
2015,2015-11-25,SAM,75,IDHO,58,0.0,148.0
2015,2015-11-25,SDKS,77,CLEV,66,12.0,140.5
2015,2015-11-25,GAST,59,MISS,68,-5.5,142.0
2015,2015-11-25,HP,46,UGA,49,-9.0,140.0
2015,2015-11-25,TROY,86,UNT,74,-4.5,147.5
2015,2015-11-25,IDST,69,DEN,79,-12.5,133.5
2015,2015-11-25,ILST,60,TCU,71,2.5,141.0
2015,2015-11-25,YALE,61,DUKE,80,-14.0,149.0
2015,2015-11-25,GMU,67,MAN,69,2.5,140.0
2015,2015-11-25,ARST,68,ORE,91,-21.5,149.5
2015,2015-11-25,LAS,64,PENN,80,4.0,144.5
2015,2015-11-25,TEX,73,TAMU,84,-4.0,144.0
2015,2015-11-25,COR,49,PITT,93,-24.0,145.5
2015,2015-11-25,WAKE,80,UCLA,77,-5.5,158.0
2015,2015-11-25,PV,67,WIS,85,-28.0,140.5
2015,2015-11-25,MONT,53,NDSU,73,-6.0,136.0
2015,2015-11-25,MD,86,URI,63,5.5,134.5
2015,2015-11-25,OMA,105,UNCO,85,5.0,164.5
2015,2015-11-25,AFA,70,COLO,81,-14.5,140.5
2015,2015-11-25,CSN,80,LMU,82,-6.0,146.5
2015,2015-11-25,CONN,74,MICH,60,4.5,136.0
2015,2015-11-25,CREI,97,UMASS,76,4.0,157.5
2015,2015-11-25,PRST,73,NEV,76,-10.0,149.0
2015,2015-11-25,VAN,63,KU,70,-3.0,152.5
2015,2015-11-25,UCSB,68,SF,61,-2.0,140.5
2015,2015-11-25,TOL,89,SJSU,74,14.5,148.0
2015,2015-11-25,CLEM,76,RUTG,58,12.0,135.5
2015,2015-11-25,USD,57,LOYI,67,-10.0,130.5
2015,2015-11-25,GONZ,80,WASH,64,9.5,169.0
2015,2015-11-25,RID,67,HBU,56,11.5,133.5
2015,2015-11-25,IND,69,UNLV,72,7.5,157.0
2015,2015-11-25,PEPP,53,DRKE,69,10.0,136.5
2015,2015-11-25,CIT,95,GASO,90,-9.0,172.5
2015,2015-11-25,MURR,59,WEB,75,1.0,136.5
2015,2015-11-26,ALA,45,XAV,64,-10.5,150.0
2015,2015-11-26,TAMU,62,GONZ,61,-5.0,151.0
2015,2015-11-26,UALR,54,ECU,46,3.5,132.0
2015,2015-11-26,SYR,79,CONN,76,-6.0,134.0
2015,2015-11-26,STAN,45,NOVA,59,-17.0,147.5
2015,2015-11-26,BC,68,MSU,99,-14.5,149.0
